freq/Hz	Re(Z)/Ohm	#NAME?	|Z|/Ohm	Phase(Z)/deg	time/s	<Ewe>/V	<I>/mA	cycle number	I Range	|Ewe|/V	|I|/A	Re(Y)/Ohm-1	Im(Y)/Ohm-1	|Y|/Ohm-1	Phase(Y)/deg	Re(Z)/Ohm * Area	-Im(z)/Ohm * Area	Re(Z)/Ohm * Area/2	-Im(z)/Ohm * Area/2
1.00E+05	0.0746	0.172	1.87E-01	-6.65E+01	2.80E+03	3.81E+00	-5.72E-01	6.00E+00	9	4.17E-03	2.23E-02	2.13E+00	4.90E+00	5.34E+00	6.65E+01	5.21454	12.0228	2.60727	6.0114
7.92E+04	0.105	0.155	1.87E-01	-5.59E+01	2.80E+03	3.81E+00	-3.49E-01	6.00E+00	9	9.20E-03	4.91E-02	3.00E+00	4.43E+00	5.34E+00	5.59E+01	7.3395	10.8345	3.66975	5.41725
6.27E+04	0.127	0.137	1.87E-01	-4.71E+01	2.80E+03	3.81E+00	-2.19E-01	6.00E+00	9	9.40E-03	5.04E-02	3.65E+00	3.93E+00	5.36E+00	4.71E+01	8.8773	9.5763	4.43865	4.78815
4.96E+04	0.144	0.12	1.88E-01	-3.97E+01	2.80E+03	3.81E+00	-1.82E-01	6.00E+00	9	1.06E-02	5.64E-02	4.10E+00	3.41E+00	5.33E+00	3.97E+01	10.0656	8.388	5.0328	4.194
3.93E+04	0.158	0.105	1.90E-01	-3.36E+01	2.80E+03	3.81E+00	-9.67E-02	6.00E+00	9	9.22E-03	4.86E-02	4.39E+00	2.92E+00	5.27E+00	3.36E+01	11.0442	7.3395	5.5221	3.66975
3.11E+04	0.169	0.0923	1.93E-01	-2.86E+01	2.80E+03	3.81E+00	-1.55E-01	6.00E+00	9	9.66E-03	5.01E-02	4.56E+00	2.49E+00	5.19E+00	2.86E+01	11.8131	6.45177	5.90655	3.225885
2.46E+04	0.178	0.0817	1.96E-01	-2.46E+01	2.81E+03	3.81E+00	-1.27E-01	6.00E+00	9	9.95E-03	5.08E-02	4.64E+00	2.13E+00	5.10E+00	2.46E+01	12.4422	5.71083	6.2211	2.855415
1.95E+04	0.186	0.0733	2.00E-01	-2.15E+01	2.81E+03	3.81E+00	-1.22E-01	6.00E+00	9	1.01E-02	5.07E-02	4.66E+00	1.84E+00	5.01E+00	2.15E+01	13.0014	5.12367	6.5007	2.561835
1.54E+04	0.192	0.0665	2.04E-01	-1.91E+01	2.81E+03	3.81E+00	-1.25E-01	6.00E+00	9	1.03E-02	5.04E-02	4.64E+00	1.60E+00	4.91E+00	1.91E+01	13.4208	4.64835	6.7104	2.324175
1.22E+04	0.199	0.0616	2.08E-01	-1.72E+01	2.81E+03	3.81E+00	-1.37E-01	6.00E+00	9	1.03E-02	4.98E-02	4.59E+00	1.43E+00	4.81E+00	1.72E+01	13.9101	4.30584	6.95505	2.15292
9.67E+03	0.204	0.0581	2.13E-01	-1.59E+01	2.81E+03	3.81E+00	-1.37E-01	6.00E+00	9	1.04E-02	4.90E-02	4.52E+00	1.29E+00	4.70E+00	1.59E+01	14.2596	4.06119	7.1298	2.030595
7.66E+03	0.21	0.056	2.18E-01	-1.49E+01	2.81E+03	3.81E+00	-1.20E-01	6.00E+00	9	1.04E-02	4.78E-02	4.44E+00	1.18E+00	4.59E+00	1.49E+01	14.679	3.9144	7.3395	1.9572
6.08E+03	0.216	0.0546	2.23E-01	-1.42E+01	2.81E+03	3.81E+00	-1.32E-01	6.00E+00	9	1.04E-02	4.65E-02	4.34E+00	1.10E+00	4.48E+00	1.42E+01	15.0984	3.81654	7.5492	1.90827
4.80E+03	0.222	0.0543	2.29E-01	-1.37E+01	2.81E+03	3.81E+00	-1.22E-01	6.00E+00	9	1.02E-02	4.46E-02	4.25E+00	1.04E+00	4.37E+00	1.37E+01	15.5178	3.79557	7.7589	1.897785
3.80E+03	0.229	0.0549	2.35E-01	-1.35E+01	2.81E+03	3.81E+00	-1.24E-01	6.00E+00	9	1.02E-02	4.31E-02	4.13E+00	9.92E-01	4.25E+00	1.35E+01	16.0071	3.83751	8.00355	1.918755
3.01E+03	0.236	0.0557	2.42E-01	-1.33E+01	2.81E+03	3.81E+00	-1.29E-01	6.00E+00	9	1.07E-02	4.42E-02	4.02E+00	9.50E-01	4.13E+00	1.33E+01	16.4964	3.89343	8.2482	1.946715
2.38E+03	0.243	0.0575	2.49E-01	-1.33E+01	2.81E+03	3.81E+00	-1.23E-01	6.00E+00	9	1.10E-02	4.41E-02	3.90E+00	9.26E-01	4.01E+00	1.33E+01	16.9857	4.01925	8.49285	2.009625
1.89E+03	0.25	0.0599	2.57E-01	-1.35E+01	2.81E+03	3.81E+00	-1.13E-01	6.00E+00	9	1.01E-02	3.92E-02	3.78E+00	9.05E-01	3.89E+00	1.35E+01	17.475	4.18701	8.7375	2.093505
1.49E+03	0.258	0.0626	2.66E-01	-1.36E+01	2.81E+03	3.81E+00	-1.14E-01	6.00E+00	9	1.01E-02	3.80E-02	3.66E+00	8.88E-01	3.77E+00	1.36E+01	18.0342	4.37574	9.0171	2.18787
1.18E+03	0.267	0.0658	2.75E-01	-1.39E+01	2.81E+03	3.81E+00	-1.14E-01	6.00E+00	9	1.01E-02	3.67E-02	3.54E+00	8.72E-01	3.64E+00	1.39E+01	18.6633	4.59942	9.33165	2.29971
9.35E+02	0.276	0.0693	2.85E-01	-1.41E+01	2.81E+03	3.81E+00	-1.17E-01	6.00E+00	9	1.00E-02	3.53E-02	3.41E+00	8.56E-01	3.51E+00	1.41E+01	19.2924	4.84407	9.6462	2.422035
7.40E+02	0.286	0.0732	2.95E-01	-1.44E+01	2.81E+03	3.81E+00	-1.17E-01	6.00E+00	9	9.98E-03	3.39E-02	3.29E+00	8.42E-01	3.39E+00	1.44E+01	19.9914	5.11668	9.9957	2.55834
5.86E+02	0.296	0.0773	3.06E-01	-1.46E+01	2.81E+03	3.81E+00	-1.23E-01	6.00E+00	9	9.94E-03	3.25E-02	3.16E+00	8.24E-01	3.27E+00	1.46E+01	20.6904	5.40327	10.3452	2.701635
4.64E+02	0.308	0.0816	3.18E-01	-1.49E+01	2.81E+03	3.81E+00	-1.21E-01	6.00E+00	9	9.90E-03	3.11E-02	3.04E+00	8.06E-01	3.14E+00	1.49E+01	21.5292	5.70384	10.7646	2.85192
3.67E+02	0.32	0.0864	3.31E-01	-1.51E+01	2.81E+03	3.81E+00	-1.21E-01	6.00E+00	9	9.86E-03	2.98E-02	2.92E+00	7.89E-01	3.02E+00	1.51E+01	22.368	6.03936	11.184	3.01968
2.91E+02	0.333	0.0914	3.45E-01	-1.54E+01	2.81E+03	3.81E+00	-1.19E-01	6.00E+00	9	9.85E-03	2.85E-02	2.79E+00	7.68E-01	2.90E+00	1.54E+01	23.2767	6.38886	11.63835	3.19443
2.30E+02	0.346	0.0958	3.59E-01	-1.55E+01	2.81E+03	3.81E+00	-1.16E-01	6.00E+00	9	9.82E-03	2.73E-02	2.68E+00	7.42E-01	2.78E+00	1.55E+01	24.1854	6.69642	12.0927	3.34821
1.82E+02	0.361	0.101	3.74E-01	-1.56E+01	2.81E+03	3.81E+00	-1.22E-01	6.00E+00	9	9.80E-03	2.62E-02	2.57E+00	7.19E-01	2.67E+00	1.56E+01	25.2339	7.0599	12.61695	3.52995
1.44E+02	0.376	0.106	3.91E-01	-1.57E+01	2.81E+03	3.81E+00	-1.24E-01	6.00E+00	9	9.79E-03	2.51E-02	2.46E+00	6.93E-01	2.56E+00	1.57E+01	26.2824	7.4094	13.1412	3.7047
1.14E+02	0.392	0.111	4.07E-01	-1.58E+01	2.81E+03	3.81E+00	-1.13E-01	6.00E+00	9	9.78E-03	2.40E-02	2.36E+00	6.69E-01	2.46E+00	1.58E+01	27.4008	7.7589	13.7004	3.87945
9.05E+01	0.409	0.116	4.25E-01	-1.58E+01	2.81E+03	3.81E+00	-1.14E-01	6.00E+00	9	9.77E-03	2.30E-02	2.26E+00	6.42E-01	2.35E+00	1.58E+01	28.5891	8.1084	14.29455	4.0542
7.16E+01	0.426	0.121	4.43E-01	-1.58E+01	2.81E+03	3.81E+00	-1.27E-01	6.00E+00	9	9.76E-03	2.20E-02	2.17E+00	6.16E-01	2.26E+00	1.58E+01	29.7774	8.4579	14.8887	4.22895
5.67E+01	0.445	0.127	4.62E-01	-1.59E+01	2.81E+03	3.81E+00	-1.03E-01	6.00E+00	9	9.76E-03	2.11E-02	2.08E+00	5.92E-01	2.16E+00	1.59E+01	31.1055	8.8773	15.55275	4.43865
4.49E+01	0.464	0.131	4.82E-01	-1.58E+01	2.81E+03	3.81E+00	-1.28E-01	6.00E+00	9	9.75E-03	2.02E-02	2.00E+00	5.66E-01	2.07E+00	1.58E+01	32.4336	9.1569	16.2168	4.57845
3.56E+01	0.484	0.136	5.02E-01	-1.57E+01	2.81E+03	3.81E+00	-9.62E-02	6.00E+00	9	9.75E-03	1.94E-02	1.92E+00	5.38E-01	1.99E+00	1.57E+01	33.8316	9.5064	16.9158	4.7532
2.82E+01	0.504	0.141	5.24E-01	-1.56E+01	2.81E+03	3.81E+00	-1.47E-01	6.00E+00	9	9.75E-03	1.86E-02	1.84E+00	5.15E-01	1.91E+00	1.56E+01	35.2296	9.8559	17.6148	4.92795
2.23E+01	0.525	0.145	5.45E-01	-1.54E+01	2.81E+03	3.81E+00	-1.63E-01	6.00E+00	9	9.74E-03	1.79E-02	1.77E+00	4.89E-01	1.84E+00	1.54E+01	36.6975	10.1355	18.34875	5.06775
1.76E+01	0.546	0.15	5.66E-01	-1.54E+01	2.81E+03	3.81E+00	-1.80E-01	6.00E+00	9	9.74E-03	1.72E-02	1.70E+00	4.69E-01	1.77E+00	1.54E+01	38.1654	10.485	19.0827	5.2425
1.40E+01	0.567	0.155	5.88E-01	-1.53E+01	2.81E+03	3.81E+00	-1.13E-01	6.00E+00	9	9.75E-03	1.66E-02	1.64E+00	4.47E-01	1.70E+00	1.53E+01	39.6333	10.8345	19.81665	5.41725
1.11E+01	0.588	0.16	6.10E-01	-1.52E+01	2.81E+03	3.81E+00	-9.35E-02	6.00E+00	9	9.75E-03	1.60E-02	1.58E+00	4.30E-01	1.64E+00	1.52E+01	41.1012	11.184	20.5506	5.592
8.76E+00	0.606	0.166	6.29E-01	-1.53E+01	2.81E+03	3.81E+00	-9.15E-02	6.00E+00	9	9.74E-03	1.55E-02	1.53E+00	4.20E-01	1.59E+00	1.53E+01	42.3594	11.6034	21.1797	5.8017
6.93E+00	0.626	0.176	6.50E-01	-1.57E+01	2.81E+03	3.81E+00	-3.13E-01	6.00E+00	9	9.74E-03	1.50E-02	1.48E+00	4.16E-01	1.54E+00	1.57E+01	43.7574	12.3024	21.8787	6.1512
5.49E+00	0.644	0.185	6.70E-01	-1.61E+01	2.81E+03	3.81E+00	-3.58E-02	6.00E+00	9	9.75E-03	1.46E-02	1.43E+00	4.13E-01	1.49E+00	1.61E+01	45.0156	12.9315	22.5078	6.46575
4.34E+00	0.66	0.206	6.91E-01	-1.74E+01	2.81E+03	3.81E+00	8.85E-02	6.00E+00	9	9.74E-03	1.41E-02	1.38E+00	4.32E-01	1.45E+00	1.74E+01	46.134	14.3994	23.067	7.1997
3.44E+00	0.673	0.225	7.10E-01	-1.85E+01	2.82E+03	3.81E+00	-2.36E-01	6.00E+00	10	9.74E-03	1.37E-02	1.34E+00	4.47E-01	1.41E+00	1.85E+01	47.0427	15.7275	23.52135	7.86375
2.72E+00	0.692	0.26	7.39E-01	-2.06E+01	2.82E+03	3.81E+00	-3.89E-01	6.00E+00	10	9.74E-03	1.32E-02	1.27E+00	4.77E-01	1.35E+00	2.06E+01	48.3708	18.174	24.1854	9.087
2.16E+00	0.709	0.294	7.68E-01	-2.25E+01	2.82E+03	3.81E+00	-2.12E-01	6.00E+00	10	9.75E-03	1.27E-02	1.20E+00	4.98E-01	1.30E+00	2.25E+01	49.5591	20.5506	24.77955	10.2753
